sample,sec,code,name,signalDate,signalRank,rank20,rankRiseFrom20,firstTop100Date,firstTop100Rank,daysToTop100,tradingDaysToTop100,bestFutureRank,bestFutureRankDate,enteredTop100,enteredTop100Within7CalDays,enteredTop100Within14CalDays,enteredTop100Within30CalDays,amountRatio,prev5,ret5,ret10,ret20,bestBoardType,bestBoardName,bestBoardRet5,bestBoardAmountRatio
broad_sector_filter,SZ301099,301099,雅创电子,2026-06-09,419,903,484,2026-06-16,99,7,5,99,2026-06-16,True,True,True,True,2.0542998551783755,0.09906254372463974,0.1912868632707776,0.26394101876675613,,concept,MLCC,0.03634813477348575,1.9895808295746058
broad_sector_filter,SZ301196,301196,唯科科技,2026-06-09,413,1434,1021,,,,,115,2026-06-15,False,False,False,False,1.3195442193451288,0.33322343114627984,0.30580262600592967,0.22592121982210922,,concept,光纤概念,0.048253885172840905,1.2719032105561758
broad_sector_filter,SH603386,603386,骏亚科技,2026-06-08,615,884,269,,,,,104,2026-06-24,False,False,False,False,1.5568333878951224,0.06111443978430198,0.017435320584926917,0.03543307086614167,,industry,元件,0.020510970394485017,1.2938813632351438
broad_sector_filter,SH601988,601988,中国银行,2026-06-05,412,975,563,,,,,205,2026-06-24,False,False,False,False,1.1765045937419585,0.03242320819112621,0.03966942148760344,-0.018181818181818077,,concept,红利破净股,0.005436161698971542,1.1479796751551512
broad_sector_filter,SH600483,600483,福能股份,2026-06-04,439,1192,753,,,,,534,2026-06-23,False,False,False,False,1.5559996298038448,0.08659981768459435,-0.01181434599156106,-0.0582278481012658,,industry,电力,0.022741997334925657,1.4670280315280935
broad_sector_filter,SH601011,601011,宝泰隆,2026-06-04,452,2624,2172,,,,,107,2026-06-23,False,False,False,False,2.2655959672090837,0.14336917562724016,-0.09810126582278478,-0.1708860759493671,,industry,煤炭,0.13722662948237208,2.0584370358443302
broad_sector_filter,SZ000400,000400,许继电气,2026-06-04,502,1014,512,,,,,455,2026-06-20,False,False,False,False,1.1210571435598118,-0.09780966767371602,-0.10389610389610393,-0.05069124423963134,,concept,抽水蓄能,0.0009259475764022973,1.0532078962716642
broad_sector_filter,SH600157,600157,永泰能源,2026-06-03,409,645,236,,,,,520,2026-06-04,False,False,False,False,1.456933002457961,0.05113636363636376,-0.10326086956521752,-0.09239130434782616,,industry,火力发电,0.09834479831035137,1.9596173463723747
broad_sector_filter,SH601015,601015,陕西黑猫,2026-06-03,479,1963,1484,,,,,191,2026-06-04,False,False,False,False,1.7651237275197076,0.14942528735632177,-0.14393939393939392,-0.1969696969696969,,industry,煤炭,0.1334755081741592,1.84439880743154
broad_sector_filter,SH603124,603124,江南新材,2026-06-03,693,2447,1754,2026-06-07,84,4,2,84,2026-06-07,True,True,True,True,1.320911380287379,0.09420877904832148,0.1498630136986301,0.3157534246575342,,concept,复合集流体,0.03627977286381534,1.2203577594757105
broad_sector_filter,SZ000537,000537,绿发电力,2026-06-03,493,780,287,,,,,741,2026-06-04,False,False,False,False,1.1057359320444413,0.09619238476953895,-0.20593692022263443,-0.21799628942486082,,industry,电力,0.05557611764112336,1.5130796053476228
broad_sector_filter,SZ300040,300040,九洲集团,2026-06-03,400,1554,1154,,,,,391,2026-06-16,False,False,False,False,1.461080499752445,0.14144271570014144,-0.1934673366834171,-0.13442211055276387,,industry,电力,0.05557611764112336,1.5130796053476228
broad_sector_filter,SZ301458,301458,钧崴电子,2026-06-03,519,2599,2080,,,,,157,2026-06-06,False,False,False,False,2.300313658610919,0.1329238868172844,0.010392156862745194,0.1331372549019607,,industry,被动元件,0.08831360282402789,2.167049680777107
broad_sector_filter,SH600508,600508,上海能源,2026-06-01,520,3654,3134,,,,,857,2026-06-04,False,False,False,False,2.0937999412962727,0.09498956158663874,-0.06589147286821706,-0.1240310077519381,,industry,焦煤,0.09841036478912057,1.5010862350327792
broad_sector_filter,SH600101,600101,明星电力,2026-05-29,527,1883,1356,,,,,184,2026-06-03,False,False,False,False,1.0994445968775535,0.0714285714285714,-0.03864734299516914,-0.1159420289855072,,industry,电能综合服务,0.08298894225399311,1.151190316314363
broad_sector_filter,SH600121,600121,郑州煤电,2026-05-29,875,3300,2425,2026-06-01,19,3,1,16,2026-06-03,True,True,True,True,1.6760825109489645,0.038929440389294134,0.22248243559718972,0.0562060889929743,,industry,煤炭开采,0.06695040668127428,1.230521728851273
broad_sector_filter,SH600163,600163,中闽能源,2026-05-29,647,1851,1204,,,,,265,2026-06-12,False,False,False,False,1.2405932635241526,0.09493670886075933,-0.05354558610709115,-0.09840810419681612,,industry,电力,0.07931724453737066,1.1919412923004116
broad_sector_filter,SH600780,600780,通宝能源,2026-05-29,631,1966,1335,,,,,386,2026-06-03,False,False,False,False,1.3241536158639684,0.09503546099290783,-0.0745098039215687,-0.13202614379084976,,industry,火力发电,0.15965628792461461,1.5084808364554267
broad_sector_filter,SH600886,600886,国投电力,2026-05-29,421,1976,1555,,,,,283,2026-05-30,False,False,False,False,1.1457292343455734,0.07116104868913875,-0.045170257123002155,-0.02501737317581665,,industry,水力发电,0.09497428570714939,1.2137945594428425
broad_sector_filter,SZ000883,000883,湖北能源,2026-05-29,494,2410,1916,,,,,305,2026-05-30,False,False,False,False,1.3853721379890425,0.08997955010224956,-0.06367041198501866,-0.0674157303370786,,industry,电能综合服务,0.08298894225399311,1.151190316314363
broad_sector_filter,SZ001286,001286,陕西能源,2026-05-29,490,2614,2124,,,,,225,2026-06-01,False,False,False,False,1.3085268350881527,0.12818181818181817,-0.04788507581803669,-0.056664006384676724,,industry,火力发电,0.15965628792461461,1.5084808364554267
broad_sector_filter,SZ001289,001289,龙源电力,2026-05-29,443,1604,1161,2026-06-27,97,29,19,97,2026-06-27,True,False,False,True,1.300021896035483,0.09560117302052773,-0.046330036439354516,-0.08537220197813644,,industry,电力,0.07931724453737066,1.1919412923004116
broad_sector_filter,SH603681,603681,永冠新材,2026-05-28,446,1075,629,,,,,113,2026-06-15,False,False,False,False,1.996053895702008,0.10650069156293207,0.10833333333333339,-0.025000000000000022,-0.04625000000000001,industry,胶黏剂及胶带,0.06373423095584663,1.5592707660649436
broad_sector_filter,SH688403,688403,汇成股份,2026-05-28,460,2898,2438,,,,,128,2026-06-24,False,False,False,False,1.4130309308380735,0.1597938144329898,-0.10311111111111115,0.11999999999999988,0.7466666666666666,industry,集成电路封测,0.1613548035247856,2.5743908791465175
broad_sector_filter,SH688411,688411,海博思创,2026-05-28,622,2395,1773,,,,,600,2026-06-12,False,False,False,False,1.7424498373732473,0.19304333790654526,-0.0703730005748876,-0.18399783571742578,-0.12454769875891913,concept,百元股,0.04750011825363032,1.2633007057750123
broad_sector_filter,SZ002625,002625,光启技术,2026-05-28,504,827,323,,,,,351,2026-06-18,False,False,False,False,1.7568477817908459,0.10688025210084029,-0.09454976303317542,-0.13625592417061605,-0.2890995260663508,concept,消费电子概念,0.04859136955316368,1.4355987534471977
broad_sector_filter,SZ300046,300046,台基股份,2026-05-28,657,2500,1843,,,,,175,2026-06-23,False,False,False,False,1.7379862222880023,0.10691244239631348,-0.14560669456066955,-0.201673640167364,-0.07531380753138084,industry,分立器件,0.16473541283866555,1.494249876320649
broad_sector_filter,SZ301307,301307,美利信,2026-05-28,773,1913,1140,,,,,955,2026-06-17,False,False,False,False,1.4220505783788164,-0.010983606557377068,-0.0051384054367643595,-0.0016575501408917503,-0.04027846842366978,concept,半导体概念,0.0545066595542516,1.2982755554233336
broad_sector_filter,SH688469,688469,芯联集成-U,2026-05-27,521,1804,1283,,,,,381,2026-06-24,False,False,False,False,1.7344518827238338,0.06758448060075084,-0.08047337278106503,-0.1502958579881657,0.17633136094674562,industry,集成电路制造,0.032249021150684065,1.7377709097879943
broad_sector_filter,SH688519,688519,南亚新材,2026-05-27,518,1337,819,,,,,251,2026-06-17,False,False,False,False,1.4373523543849722,0.15699384862262655,0.0751222264009026,0.36282437006393375,0.7862918390372322,industry,元件,0.08337886555869756,1.5525628776462703
broad_sector_filter,SZ000027,000027,深圳能源,2026-05-27,548,1872,1324,,,,,286,2026-05-30,False,False,False,False,1.0686470510231603,0.04149377593361003,0.027667984189723382,-0.07773386034255603,-0.12121212121212122,industry,火力发电,0.07630054339888326,1.2112477454022206
broad_sector_filter,SZ002137,002137,实益达,2026-05-27,830,3195,2365,2026-06-02,25,6,4,19,2026-06-03,True,True,True,True,2.202527765915093,0.019495412844036775,0.18451025056947623,0.21867881548974943,0.2198177676537587,concept,先进封装,0.07299942104296986,1.636053489449874
broad_sector_filter,SZ002452,002452,长高电气,2026-05-27,435,1345,910,,,,,137,2026-06-24,False,False,False,False,1.5128487065649387,0.0615784908933219,-0.0732510288065844,-0.10534979423868318,0.06419753086419755,concept,最近多板,0.03261876561162369,1.2332057847430846
broad_sector_filter,SZ300296,300296,利亚德,2026-05-27,429,733,304,,,,,170,2026-06-08,False,False,False,False,1.400972633780445,0.0619335347432024,-0.05681818181818188,-0.0042613636363636465,-0.18465909090909083,concept,玻璃基板,0.09652318352914335,2.234956429356853
broad_sector_filter,SZ000612,000612,焦作万方,2026-05-26,473,914,441,,,,,149,2026-06-22,False,False,False,False,1.1570329183089647,0.07118353344768447,-0.008921330089213253,-0.13868613138686137,-0.02676399026763987,industry,铝,0.020786938906925068,1.131107187223907
broad_sector_filter,SZ002456,002456,欧菲光,2026-05-26,475,716,241,2026-06-26,56,31,22,56,2026-06-26,True,False,False,False,1.6567688089348798,0.04040404040404044,0.03365906623235593,0.03583061889250794,-0.0032573289902281255,concept,屏下摄像,0.0831061527492345,2.846830781817984
broad_sector_filter,SZ300739,300739,明阳电路,2026-05-26,413,1243,830,,,,,182,2026-05-27,False,False,False,False,1.5917407188126156,0.14087837837837847,-0.054638246772740984,-0.1486040228159713,-0.039927949564695364,industry,元件,0.10063634535583055,1.4302152525178198
broad_sector_filter,SZ002815,002815,崇达技术,2026-05-25,423,1412,989,2026-06-15,31,21,15,31,2026-06-15,True,False,False,True,1.2516128243427964,0.07613563659628908,-0.014268727705113116,0.022592152199762072,0.057074910820451796,industry,元件,0.11490109241492164,1.3118367393145423
broad_sector_filter,SZ300812,300812,易天股份,2026-05-25,632,2885,2253,,,,,387,2026-06-10,False,False,False,False,1.1620545588533555,0.08365150989239845,-0.1909531502423264,-0.13021001615508876,-0.06332794830371569,concept,玻璃基板,0.12914719797819507,1.9338016635678312
broad_sector_filter,SZ301389,301389,隆扬电子,2026-05-25,491,1092,601,2026-06-16,87,22,16,87,2026-06-16,True,False,False,True,1.0181475584367756,0.1462289744981009,-0.028030578813250884,-0.0561825021235286,0.1537434777332849,industry,电子,0.062070030464969506,1.386117189300071
broad_sector_filter,SZ301568,301568,思泰克,2026-05-25,543,1676,1133,,,,,304,2026-06-15,False,False,False,False,1.9197149223905727,0.16976980365605954,0.0652173913043479,0.24115942028985504,0.6499999999999999,concept,PCB,0.0876443068223891,1.2553818335147904
broad_sector_filter,SH600114,600114,东睦股份,2026-05-22,405,822,417,2026-06-02,97,11,7,97,2026-06-02,True,False,True,True,1.9478462216793226,0.13244632597520423,-0.02864721485411159,0.07135278514588861,0.1259946949602122,concept,柔性屏(折叠屏),0.05159826573450599,1.5380494685206632
broad_sector_filter,SH600635,600635,大众公用,2026-05-22,536,2133,1597,2026-05-26,17,4,2,17,2026-05-26,True,True,True,True,2.1973329445565777,0.08461538461538454,-0.07079646017699126,-0.11327433628318595,-0.19115044247787616,concept,小盘成长,0.009909917953021763,1.1550776551034594
broad_sector_filter,SH601677,601677,明泰铝业,2026-05-22,432,858,426,,,,,350,2026-05-26,False,False,False,False,1.3961650285260705,0.1302795954788818,-0.0419906687402799,-0.07205806117159153,-0.10834629341627788,concept,5G概念,0.02113019522033155,1.0763153301411266
broad_sector_filter,SH603725,603725,天安新材,2026-05-22,662,3981,3319,2026-06-06,90,15,10,69,2026-06-07,True,False,False,True,2.25178717753403,0.16618075801749277,-0.07500000000000007,0.07000000000000006,-0.0724999999999999,industry,瓷砖地板,0.018916561682333688,1.5923379463153964
broad_sector_filter,SH688401,688401,路维光电,2026-05-22,983,1311,328,,,,,375,2026-05-25,False,False,False,False,1.2108036902827104,0.05977011494252893,0.07020408163265301,-0.011972789115646143,0.09523809523809534,concept,玻璃基板,0.0850769772310429,1.7934246109496608
broad_sector_filter,SH688630,688630,芯碁微装,2026-05-22,410,1431,1021,,,,,235,2026-05-28,False,False,False,False,1.101447501827752,0.15302848749565157,0.08088923305262474,0.22285677411028293,0.5745490917303906,concept,先进封装,0.06536774114922927,1.4727729140854022
broad_sector_filter,SZ300319,300319,麦捷科技,2026-05-22,428,3110,2682,2026-06-05,32,14,10,7,2026-06-07,True,False,True,True,1.8944497635287312,0.0768049155145929,0.05770635500365229,0.6194302410518628,1.310445580715851,industry,被动元件,0.13755952558906315,1.675586158493285
broad_sector_filter,SZ300593,300593,新雷能,2026-05-22,401,2892,2491,,,,,141,2026-06-09,False,False,False,False,1.6444267959725825,0.15493934142114374,-0.048911582907820494,-0.09083579682880949,-0.013437248051599071,concept,国产芯片,0.018393178298092172,1.2266900252525057
broad_sector_filter,SZ300731,300731,科创新源,2026-05-22,453,3515,3062,,,,,404,2026-05-24,False,False,False,False,1.2704944613194777,0.11920313520574788,-0.09702570025989032,-0.15651169506208495,-0.11002021368755421,concept,第三代半导体,0.02727816055661436,1.3114404644922761
broad_sector_filter,SZ002405,002405,四维图新,2026-05-21,413,1346,933,,,,,752,2026-05-23,False,False,False,False,1.4856850339532608,0.02583423035522059,-0.04153686396677059,-0.18068535825545184,-0.26272066458982357,concept,胎压监测,0.002320212264963706,1.050212073948126
broad_sector_filter,SZ300179,300179,四方达,2026-05-21,625,1116,491,2026-05-22,58,1,1,20,2026-06-22,True,True,True,True,1.0178297220306143,-0.07798481711525196,0.5462093862815884,0.844043321299639,0.7292418772563176,concept,工业母机,0.005069749288826753,1.335022086173867
broad_sector_filter,SZ300421,300421,力星股份,2026-05-21,661,2562,1901,,,,,1055,2026-05-24,False,False,False,False,2.30380027534004,0.08412698412698427,-0.11980712166172103,-0.1943620178041544,-0.24740356083086057,concept,人形机器人,0.028272622985395568,1.4595283424040542
