em,code,signalDate,rank,rank20,median5,medianPrev5,medianPrev10,entryDate,entryOpen,signalClose,prev5,prev10,amountRatio,turnover5,exitDate5,ret5,exitDate10,ret10,exitDate20,ret20,boardCount,hasStrongBoard,hasStrongIndustry,hasStrongConcept,bestBoardType,bestBoardCode,bestBoardName,bestBoardRet5,bestBoardRet10,bestBoardAmountRatio,bestBoardScoreRankPct
SZ301099,301099,2026-06-09,419,903,449,756,1151.5,2026-06-10,74.6,78.55,0.09906254372463974,0.1647390272835112,2.0542998551783755,18.528,2026-06-16,0.1912868632707776,2026-06-24,0.26394101876675613,,,22,true,false,true,concept,BK0890,MLCC,0.03634813477348575,0.18743504499322405,1.9895808295746058,0
SZ301196,301196,2026-06-09,413,1434,364,1543,2262,2026-06-10,118.05,121.31,0.33322343114627984,0.12199408065112838,1.3195442193451288,9.642,2026-06-16,0.30580262600592967,2026-06-24,0.22592121982210922,,,13,true,false,true,concept,BK1660,光纤概念,0.048253885172840905,0.05607382420224094,1.2719032105561758,0.015283842794759825
SH600157,600157,2026-06-03,409,645,290,573,744.5,2026-06-04,1.84,1.85,0.05113636363636376,0.04519774011299438,1.456933002457961,5.409999999999999,2026-06-10,-0.10326086956521752,2026-06-17,-0.09239130434782616,,,22,true,true,false,industry,BK1377,火力发电,0.09834479831035137,0.18214910326076783,1.9596173463723747,0.011204481792717087
SH601015,601015,2026-06-03,479,1963,626,1737,2135.5,2026-06-04,3.96,4,0.14942528735632177,0.09289617486338786,1.7651237275197076,4.316,2026-06-10,-0.14393939393939392,2026-06-17,-0.1969696969696969,,,11,true,true,false,industry,BK0437,煤炭,0.1334755081741592,0.11762959134637163,1.84439880743154,0.01680672268907563
SH603124,603124,2026-06-03,693,2447,1020,1415,2906,2026-06-04,146,148.32,0.09420877904832148,0.20565761664769955,1.320911380287379,4.742,2026-06-10,0.1498630136986301,2026-06-17,0.3157534246575342,,,11,true,false,true,concept,BK1113,复合集流体,0.03627977286381534,0.031626368008025985,1.2203577594757105,0.026200873362445413
SZ000537,000537,2026-06-03,493,780,493,878,955.5,2026-06-04,10.78,10.94,0.09619238476953895,0.052935514918190485,1.1057359320444413,3.66,2026-06-10,-0.20593692022263443,2026-06-17,-0.21799628942486082,,,17,true,true,true,industry,BK0428,电力,0.05557611764112336,0.07998319028325285,1.5130796053476228,0.036414565826330535
SZ300040,300040,2026-06-03,400,1554,400,1535,1784,2026-06-04,7.96,8.07,0.14144271570014144,0.08906882591093113,1.461080499752445,16.64,2026-06-10,-0.1934673366834171,2026-06-17,-0.13442211055276387,,,18,true,true,true,industry,BK0428,电力,0.05557611764112336,0.07998319028325285,1.5130796053476228,0.036414565826330535
SH600508,600508,2026-06-01,520,3654,379,2320,3393.5,2026-06-02,10.32,10.49,0.09498956158663874,0.08255933952528394,2.0937999412962727,2.718,2026-06-08,-0.06589147286821706,2026-06-15,-0.1240310077519381,,,10,true,true,true,industry,BK1494,焦煤,0.09841036478912057,0.10038661734924448,1.5010862350327792,0.0056022408963585435
SH600121,600121,2026-05-29,875,3300,1058,1958,2404.5,2026-06-01,4.27,4.27,0.038929440389294134,0.03389830508474567,1.6760825109489645,6.614,2026-06-05,0.22248243559718972,2026-06-12,0.0562060889929743,,,8,true,true,false,industry,BK1250,煤炭开采,0.06695040668127428,0.03820500655820047,1.230521728851273,0.04201680672268908
SH600886,600886,2026-05-29,421,1976,1132,1844,1722.5,2026-06-01,14.39,14.3,0.07116104868913875,0.07035928143712589,1.1457292343455734,0.6199999999999999,2026-06-05,-0.045170257123002155,2026-06-12,-0.02501737317581665,,,13,true,true,false,industry,BK1380,水力发电,0.09497428570714939,0.06621250556351432,1.2137945594428425,0.022408963585434174
SH603681,603681,2026-05-28,446,1075,1200,1370,1787,2026-05-29,24,24,0.10650069156293207,0.13906027527289977,1.996053895702008,6.506,2026-06-04,0.10833333333333339,2026-06-11,-0.025000000000000022,2026-06-26,-0.04625000000000001,10,true,true,false,industry,BK1425,胶黏剂及胶带,0.06373423095584663,0.03644948454826702,1.5592707660649436,0.06162464985994398
SH688411,688411,2026-05-28,622,2395,917,2014,1642,2026-05-29,295.71,295.66,0.19304333790654526,0.20973813420621945,1.7424498373732473,7.747999999999999,2026-06-04,-0.0703730005748876,2026-06-11,-0.18399783571742578,2026-06-26,-0.12454769875891913,13,true,false,true,concept,BK1059,百元股,0.04750011825363032,0.04865090113553494,1.2633007057750123,0.08951965065502183
SZ002625,002625,2026-05-28,504,827,504,1155,956,2026-05-29,42.2,42.15,0.10688025210084029,0.035626535626535505,1.7568477817908459,2.442,2026-06-04,-0.09454976303317542,2026-06-11,-0.13625592417061605,2026-06-26,-0.2890995260663508,24,true,false,true,concept,BK1646,消费电子概念,0.04859136955316368,0.042499015618847835,1.4355987534471977,0.0851528384279476
SZ301307,301307,2026-05-28,773,1913,1171,1521,1651,2026-05-29,60.33,60.33,-0.010983606557377068,0.012248322147651036,1.4220505783788164,13.975999999999999,2026-06-04,-0.0051384054367643595,2026-06-11,-0.0016575501408917503,2026-06-26,-0.04027846842366978,19,true,false,true,concept,BK0917,半导体概念,0.0545066595542516,0.04732418990602705,1.2982755554233336,0.08078602620087336
SH688469,688469,2026-05-27,521,1804,635,1398,1370.5,2026-05-28,8.45,8.53,0.06758448060075084,0.08111533586818753,1.7344518827238338,4.9079999999999995,2026-06-03,-0.08047337278106503,2026-06-10,-0.1502958579881657,2026-06-25,0.17633136094674562,16,true,true,false,industry,BK1329,集成电路制造,0.032249021150684065,0.13139004652940223,1.7377709097879943,0.014005602240896359
SH688519,688519,2026-05-27,518,1337,518,1898,1532,2026-05-28,212.72,216.3,0.15699384862262655,0.07344913151364763,1.4373523543849722,3.728,2026-06-03,0.0751222264009026,2026-06-10,0.36282437006393375,2026-06-25,0.7862918390372322,16,true,true,true,industry,BK0459,元件,0.08337886555869756,0.08528328038304833,1.5525628776462703,0.011204481792717087
SZ000027,000027,2026-05-27,548,1872,1037,1399,1593.5,2026-05-28,7.59,7.53,0.04149377593361003,0.020325203252032464,1.0686470510231603,1.208,2026-06-03,0.027667984189723382,2026-06-10,-0.07773386034255603,2026-06-25,-0.12121212121212122,29,true,true,false,industry,BK1377,火力发电,0.07630054339888326,0.03360510406289441,1.2112477454022206,0.03081232492997199
SZ002137,002137,2026-05-27,830,3195,1201,1984,2310,2026-05-28,8.78,8.89,0.019495412844036775,0.021839080459770344,2.202527765915093,6.708,2026-06-03,0.18451025056947623,2026-06-10,0.21867881548974943,2026-06-25,0.2198177676537587,23,true,true,true,concept,BK1101,先进封装,0.07299942104296986,0.14285499425463688,1.636053489449874,0.006550218340611353
SZ002452,002452,2026-05-27,435,1345,842,1374,1807,2026-05-28,12.15,12.24,0.0615784908933219,0.06713164777680913,1.5128487065649387,7.9159999999999995,2026-06-03,-0.0732510288065844,2026-06-10,-0.10534979423868318,2026-06-25,0.06419753086419755,12,true,false,true,concept,BK1638,最近多板,0.03261876561162369,0.023645526357089164,1.2332057847430846,0.039301310043668124
SZ300739,300739,2026-05-26,413,1243,254,933,1089.5,2026-05-27,33.31,33.77,0.14087837837837847,0.11710221634138285,1.5917407188126156,10.572000000000001,2026-06-02,-0.054638246772740984,2026-06-09,-0.1486040228159713,2026-06-24,-0.039927949564695364,15,true,true,true,industry,BK0459,元件,0.10063634535583055,0.12537850240895754,1.4302152525178198,0.011204481792717087
SZ002815,002815,2026-05-25,423,1412,244,1386,976.5,2026-05-26,16.82,16.82,0.07613563659628908,0.04797507788161992,1.2516128243427964,6.609999999999999,2026-06-01,-0.014268727705113116,2026-06-08,0.022592152199762072,2026-06-23,0.057074910820451796,20,true,true,true,industry,BK0459,元件,0.11490109241492164,0.1239007205040985,1.3118367393145423,0.01680672268907563
SZ300812,300812,2026-05-25,632,2885,1044,1447,1642,2026-05-26,30.95,31.22,0.08365150989239845,0.04694835680751175,1.1620545588533555,16.494,2026-06-01,-0.1909531502423264,2026-06-08,-0.13021001615508876,2026-06-23,-0.06332794830371569,18,true,true,true,concept,BK1175,玻璃基板,0.12914719797819507,0.1669596182391775,1.9338016635678312,0.004424778761061947
SZ301389,301389,2026-05-25,491,1092,440,1549,1102.5,2026-05-26,82.41,84.5,0.1462289744981009,0.1534261534261534,1.0181475584367756,4.098000000000001,2026-06-01,-0.028030578813250884,2026-06-08,-0.0561825021235286,2026-06-23,0.1537434777332849,11,true,true,true,industry,BK1201,电子,0.062070030464969506,0.07975462823037138,1.386117189300071,0.04481792717086835
SZ301568,301568,2026-05-25,543,1676,352,2790,2196.5,2026-05-26,69,69.11,0.16976980365605954,0.16248948696383514,1.9197149223905727,15.578,2026-06-01,0.0652173913043479,2026-06-08,0.24115942028985504,2026-06-23,0.6499999999999999,16,true,true,true,concept,BK0877,PCB,0.0876443068223891,0.1030462323172725,1.2553818335147904,0.017699115044247787
SH600114,600114,2026-05-22,405,822,1042,1759,1472,2026-05-25,37.7,37.45,0.13244632597520423,0.08205720889916224,1.9478462216793226,5.720000000000001,2026-05-29,-0.02864721485411159,2026-06-05,0.07135278514588861,2026-06-22,0.1259946949602122,19,true,true,true,concept,BK1160,柔性屏(折叠屏),0.05159826573450599,0.05828299120868663,1.5380494685206632,0.03982300884955752
SH688401,688401,2026-05-22,983,1311,1220,1612,1756,2026-05-25,73.5,73.76,0.05977011494252893,0.10501872659176037,1.2108036902827104,5.196,2026-05-29,0.07020408163265301,2026-06-05,-0.011972789115646143,2026-06-22,0.09523809523809534,13,true,true,true,concept,BK1175,玻璃基板,0.0850769772310429,0.14917278834683234,1.7934246109496608,0.00663716814159292
SH688630,688630,2026-05-22,410,1431,1130,1595,1539.5,2026-05-25,309.93,298.3,0.15302848749565157,0.1510263929618767,1.101447501827752,5.15,2026-05-29,0.08088923305262474,2026-06-05,0.22285677411028293,2026-06-22,0.5745490917303906,20,true,true,true,concept,BK1101,先进封装,0.06536774114922927,0.14990627774671972,1.4727729140854022,0.008849557522123894
SZ300319,300319,2026-05-22,428,3110,611,2043,2164.5,2026-05-25,13.69,14.02,0.0768049155145929,0.07929176289453421,1.8944497635287312,7.436,2026-05-29,0.05770635500365229,2026-06-05,0.6194302410518628,2026-06-22,1.310445580715851,16,true,true,true,industry,BK1339,被动元件,0.13755952558906315,0.17083390479003802,1.675586158493285,0.0028011204481792717
SH603015,603015,2026-05-20,762,3970,1131,3143,3538,2026-05-21,13.41,13.4,0.08064516129032251,0.1279461279461278,2.2838190102814404,3.336,2026-05-27,-0.1170768083519762,2026-06-03,-0.13721103653989564,2026-06-17,-0.08501118568232668,13,true,true,true,industry,BK1237,自动化设备,0.0463682124914484,0.12773325731420182,1.5665297656900679,0.0392156862745098
SZ300763,300763,2026-05-20,455,903,756,1075,1199.5,2026-05-21,112.32,112.33,0.10008814024091661,0.14950880065493255,1.0837609448804215,6.022,2026-05-27,0.0657051282051282,2026-06-03,-0.025284900284900158,2026-06-17,-0.16924857549857542,12,true,true,false,industry,BK1320,逆变器,0.0708813359299707,0.09165391370210973,1.4662012279464098,0.04201680672268908
SH603305,603305,2026-05-19,538,957,500,1052,908,2026-05-20,16.96,17.13,0.05156537753222845,0.12327868852459001,1.5595743302192364,3.88,2026-05-26,-0.024764150943396346,2026-06-02,-0.13915094339622647,2026-06-16,-0.17216981132075482,15,true,false,true,concept,BK1184,人形机器人,0.033943248432880546,0.11000828934165185,1.4780624313259125,0.06711409395973154
SH688627,688627,2026-05-19,658,2614,791,1455,2294.5,2026-05-20,393.79,396.18,0.11625154964499029,0.35302756053413487,2.0799692077909473,9.764,2026-05-26,0.027857487493333943,2026-06-02,-0.11635643363213899,2026-06-16,0.2640747606592344,10,true,true,true,concept,BK1152,高带宽内存,0.10006073960443862,0.23418606154963406,1.6693590829264675,0
SZ000543,000543,2026-05-19,443,1878,1283,1596,2029,2026-05-20,8.87,9,0.06635071090047395,0.11386138613861396,2.399983046809261,3.5439999999999996,2026-05-26,0.01916572717023679,2026-06-02,0.07666290868094716,2026-06-16,-0.027057497181510515,22,true,true,true,industry,BK1377,火力发电,0.054267855617495586,0.16537485733991275,1.9215905189258249,0.03361344537815126
SZ300480,300480,2026-05-19,507,1210,1088,1270,1418.5,2026-05-20,41.2,41.53,0.09318241642537517,0.15779202676331217,1.7605350871538954,13.351999999999999,2026-05-26,-0.14029126213592236,2026-06-02,-0.20558252427184476,2026-06-16,-0.11723300970873796,13,true,true,true,concept,BK0977,碳化硅,0.07532425826479461,0.17893398533007332,1.651905683760564,0.011185682326621925
SH600143,600143,2026-05-18,508,956,420,704,653,2026-05-19,17.95,17.43,-0.01802816901408455,0.022887323943661997,1.2034002642105381,2.2560000000000002,2026-05-25,-0.01949860724233976,2026-06-01,-0.05292479108635095,2026-06-15,-0.05292479108635095,26,true,true,true,industry,BK1437,改性塑料,0.03086114229685344,0.1031541204232671,1.3792273689191916,0.07282913165266107
SH688082,688082,2026-05-18,411,1025,1104,1409,1634,2026-05-19,182.98,185.18,0.11399867653251539,0.2427353868867863,2.4603540011268605,2.394,2026-05-25,0.3717346158050061,2026-06-01,0.1758115641053668,2026-06-15,0.7214996174445296,13,true,true,true,industry,BK1326,半导体设备,0.11093952402273222,0.25992728267384124,1.833671296949741,0
SH688249,688249,2026-05-18,778,1701,778,1669,1011.5,2026-05-19,39.87,40.9,0.13453536754507622,0.2938943372350522,2.387431060333741,3.5700000000000003,2026-05-25,0.07624780536744424,2026-06-01,0.06420867820416354,2026-06-15,0.07223476297968401,9,true,true,true,industry,BK1329,集成电路制造,0.030448612192643276,0.21702721998272834,1.5771949439024042,0.01680672268907563
SH688777,688777,2026-05-18,546,1111,753,1661,1161.5,2026-05-19,84.87,83.77,0.025085658345570305,0.08538481471883896,1.3183228748723625,3.2920000000000003,2026-05-25,0.031459879816189584,2026-06-01,0.03900082479085665,2026-06-15,0.3015199717214563,22,true,true,true,concept,BK1119,PLC概念,0.04567226450056516,0.2058487548549235,1.5913355081037706,0.0022675736961451248
