type,date,time,code,name,market,rank,rate
concept,20260608,202606080935,886033,共封装光学(CPO),48,1,219276.0
concept,20260608,202606080935,886069,人形机器人,48,2,126742.0
concept,20260608,202606080935,886078,商业航天,48,3,126657.5
concept,20260608,202606080935,886042,存储芯片,48,4,97202.5
concept,20260608,202606080935,885517,机器人概念,48,5,55581.5
concept,20260608,202606080935,885959,PCB概念,48,6,38782.5
concept,20260608,202606080935,885852,青蒿素,48,7,37216.0
concept,20260608,202606080935,886084,光纤概念,48,8,36589.0
concept,20260608,202606080935,886009,先进封装,48,9,29950.5
concept,20260608,202606080935,886050,算力租赁,48,10,27852.5
concept,20260608,202606080935,886015,创新药,48,11,27655.5
concept,20260608,202606080935,886030,成飞概念,48,12,24763.0
concept,20260608,202606080935,885792,赛马概念,48,13,24245.5
concept,20260608,202606080935,885699,ST板块,48,14,20777.5
concept,20260608,202606080935,886108,AI应用,48,15,20697.5
concept,20260608,202606081420,886069,人形机器人,48,1,400942.0
concept,20260608,202606081420,886033,共封装光学(CPO),48,2,384944.5
concept,20260608,202606081420,886078,商业航天,48,3,340181.5
concept,20260608,202606081420,885517,机器人概念,48,4,173493.0
concept,20260608,202606081420,886042,存储芯片,48,5,166884.5
concept,20260608,202606081420,885959,PCB概念,48,6,131721.0
concept,20260608,202606081420,886084,光纤概念,48,7,121687.5
concept,20260608,202606081420,886008,减速器,48,8,94409.0
concept,20260608,202606081420,886015,创新药,48,9,89210.5
concept,20260608,202606081420,886050,算力租赁,48,10,74713.5
concept,20260608,202606081420,886108,AI应用,48,11,67051.0
concept,20260608,202606081420,885886,超级电容,48,12,49306.5
concept,20260608,202606081420,885699,ST板块,48,13,46547.5
concept,20260608,202606081420,886009,先进封装,48,14,45017.5
concept,20260608,202606081420,885792,赛马概念,48,15,44783.5
concept,20260608,202606081100,886078,商业航天,48,1,321417.0
concept,20260608,202606081100,886033,共封装光学(CPO),48,2,314162.5
concept,20260608,202606081100,886069,人形机器人,48,3,251833.0
concept,20260608,202606081100,886042,存储芯片,48,4,127259.5
concept,20260608,202606081100,885517,机器人概念,48,5,116043.0
concept,20260608,202606081100,885792,赛马概念,48,6,83070.5
concept,20260608,202606081100,885959,PCB概念,48,7,82723.5
concept,20260608,202606081100,886084,光纤概念,48,8,72066.5
concept,20260608,202606081100,885573,猪肉,48,9,71658.5
concept,20260608,202606081100,885808,养鸡,48,10,65512.0
concept,20260608,202606081100,886015,创新药,48,11,59758.5
concept,20260608,202606081100,886108,AI应用,48,12,54959.0
concept,20260608,202606081100,886050,算力租赁,48,13,54782.5
concept,20260608,202606081100,886008,减速器,48,14,41710.0
concept,20260608,202606081100,886009,先进封装,48,15,36533.0
concept,20260608,202606081345,886069,人形机器人,48,1,443799.0
concept,20260608,202606081345,886033,共封装光学(CPO),48,2,396079.5
concept,20260608,202606081345,886078,商业航天,48,3,363244.5
concept,20260608,202606081345,885517,机器人概念,48,4,194217.5
concept,20260608,202606081345,886042,存储芯片,48,5,174946.0
concept,20260608,202606081345,885959,PCB概念,48,6,147863.0
concept,20260608,202606081345,886084,光纤概念,48,7,134827.0
concept,20260608,202606081345,886008,减速器,48,8,112004.0
concept,20260608,202606081345,886015,创新药,48,9,93202.0
concept,20260608,202606081345,886050,算力租赁,48,10,75688.5
concept,20260608,202606081345,886108,AI应用,48,11,73684.5
concept,20260608,202606081345,885886,超级电容,48,12,55584.0
concept,20260608,202606081345,886009,先进封装,48,13,51902.5
concept,20260608,202606081345,885792,赛马概念,48,14,49520.5
concept,20260608,202606081345,885699,ST板块,48,15,47639.0
concept,20260608,202606081025,886033,共封装光学(CPO),48,1,376786.5
concept,20260608,202606081025,886078,商业航天,48,2,269309.5
concept,20260608,202606081025,886069,人形机器人,48,3,210396.0
concept,20260608,202606081025,886042,存储芯片,48,4,148022.5
concept,20260608,202606081025,885517,机器人概念,48,5,88983.5
concept,20260608,202606081025,885959,PCB概念,48,6,68637.5
concept,20260608,202606081025,886084,光纤概念,48,7,63727.5
concept,20260608,202606081025,885792,赛马概念,48,8,59979.0
concept,20260608,202606081025,886015,创新药,48,9,54719.5
concept,20260608,202606081025,886050,算力租赁,48,10,51469.0
concept,20260608,202606081025,885573,猪肉,48,11,50622.0
concept,20260608,202606081025,886108,AI应用,48,12,46650.5
concept,20260608,202606081025,885808,养鸡,48,13,46154.0
concept,20260608,202606081025,885699,ST板块,48,14,38563.5
concept,20260608,202606081025,885852,青蒿素,48,15,35324.5
concept,20260608,202606081300,886069,人形机器人,48,1,415723.0
concept,20260608,202606081300,886033,共封装光学(CPO),48,2,366650.0
concept,20260608,202606081300,886078,商业航天,48,3,345354.0
concept,20260608,202606081300,885517,机器人概念,48,4,183357.0
concept,20260608,202606081300,886042,存储芯片,48,5,160178.0
concept,20260608,202606081300,885959,PCB概念,48,6,131122.5
concept,20260608,202606081300,886084,光纤概念,48,7,127976.5
concept,20260608,202606081300,886008,减速器,48,8,107302.5
concept,20260608,202606081300,886015,创新药,48,9,77768.0
concept,20260608,202606081300,886050,算力租赁,48,10,67470.5
concept,20260608,202606081300,886108,AI应用,48,11,65969.5
concept,20260608,202606081300,885792,赛马概念,48,12,55109.5
concept,20260608,202606081300,885886,超级电容,48,13,51505.5
concept,20260608,202606081300,886009,先进封装,48,14,51441.5
concept,20260608,202606081300,885573,猪肉,48,15,47090.5
concept,20260608,202606081105,886078,商业航天,48,1,330289.5
concept,20260608,202606081105,886033,共封装光学(CPO),48,2,319594.0
concept,20260608,202606081105,886069,人形机器人,48,3,265575.5
concept,20260608,202606081105,886042,存储芯片,48,4,130381.0
concept,20260608,202606081105,885517,机器人概念,48,5,122481.0
concept,20260608,202606081105,885959,PCB概念,48,6,86710.0
concept,20260608,202606081105,885792,赛马概念,48,7,85365.0
concept,20260608,202606081105,886084,光纤概念,48,8,75470.5
concept,20260608,202606081105,885573,猪肉,48,9,72224.0
concept,20260608,202606081105,885808,养鸡,48,10,65921.0
concept,20260608,202606081105,886015,创新药,48,11,60959.0
concept,20260608,202606081105,886050,算力租赁,48,12,56412.0
concept,20260608,202606081105,886108,AI应用,48,13,56370.0
concept,20260608,202606081105,886008,减速器,48,14,46500.0
concept,20260608,202606081105,886009,先进封装,48,15,38158.5
concept,20260608,202606081500,886069,人形机器人,48,1,391714.5
concept,20260608,202606081500,886033,共封装光学(CPO),48,2,368127.5
concept,20260608,202606081500,886078,商业航天,48,3,324152.0
concept,20260608,202606081500,885517,机器人概念,48,4,171417.5
concept,20260608,202606081500,886042,存储芯片,48,5,164150.0
concept,20260608,202606081500,885959,PCB概念,48,6,126287.5
concept,20260608,202606081500,886084,光纤概念,48,7,108513.0
concept,20260608,202606081500,886008,减速器,48,8,93022.5
concept,20260608,202606081500,886015,创新药,48,9,83931.0
concept,20260608,202606081500,886050,算力租赁,48,10,74024.5
concept,20260608,202606081500,886108,AI应用,48,11,62509.5
concept,20260608,202606081500,886049,空间计算,48,12,47247.0
concept,20260608,202606081500,885886,超级电容,48,13,46438.0
concept,20260608,202606081500,886009,先进封装,48,14,43770.5
concept,20260608,202606081500,885699,ST板块,48,15,43469.0
concept,20260608,202606081305,886069,人形机器人,48,1,417512.0
concept,20260608,202606081305,886033,共封装光学(CPO),48,2,367549.5
concept,20260608,202606081305,886078,商业航天,48,3,343887.0
concept,20260608,202606081305,885517,机器人概念,48,4,184523.5
concept,20260608,202606081305,886042,存储芯片,48,5,161647.5
concept,20260608,202606081305,885959,PCB概念,48,6,132500.0
concept,20260608,202606081305,886084,光纤概念,48,7,128793.5
concept,20260608,202606081305,886008,减速器,48,8,108573.5
concept,20260608,202606081305,886015,创新药,48,9,78770.0
concept,20260608,202606081305,886050,算力租赁,48,10,67839.0
concept,20260608,202606081305,886108,AI应用,48,11,65726.5
concept,20260608,202606081305,885792,赛马概念,48,12,53862.0
concept,20260608,202606081305,885886,超级电容,48,13,52003.0
concept,20260608,202606081305,886009,先进封装,48,14,51506.5
concept,20260608,202606081305,885573,猪肉,48,15,46248.0
concept,20260608,202606080930,886033,共封装光学(CPO),48,1,176944.5
concept,20260608,202606080930,886069,人形机器人,48,2,111841.5
concept,20260608,202606080930,886078,商业航天,48,3,108806.0
concept,20260608,202606080930,886042,存储芯片,48,4,81441.0
concept,20260608,202606080930,885517,机器人概念,48,5,50269.5
concept,20260608,202606080930,885959,PCB概念,48,6,32903.5
concept,20260608,202606080930,886084,光纤概念,48,7,30751.0
concept,20260608,202606080930,885852,青蒿素,48,8,27947.5
concept,20260608,202606080930,886009,先进封装,48,9,27596.0
concept,20260608,202606080930,886030,成飞概念,48,10,24449.5
concept,20260608,202606080930,886015,创新药,48,11,23640.0
concept,20260608,202606080930,886050,算力租赁,48,12,23634.0
concept,20260608,202606080930,885792,赛马概念,48,13,18554.5
concept,20260608,202606080930,886108,AI应用,48,14,17534.5
concept,20260608,202606080930,885699,ST板块,48,15,16447.5
concept,20260608,202606081425,886069,人形机器人,48,1,394294.0
concept,20260608,202606081425,886033,共封装光学(CPO),48,2,380703.5
concept,20260608,202606081425,886078,商业航天,48,3,335198.0
concept,20260608,202606081425,885517,机器人概念,48,4,170417.5
concept,20260608,202606081425,886042,存储芯片,48,5,165295.5
concept,20260608,202606081425,885959,PCB概念,48,6,128880.5
concept,20260608,202606081425,886084,光纤概念,48,7,118703.5
concept,20260608,202606081425,886008,减速器,48,8,91991.5
concept,20260608,202606081425,886015,创新药,48,9,87029.0
concept,20260608,202606081425,886050,算力租赁,48,10,74176.5
concept,20260608,202606081425,886108,AI应用,48,11,65609.5
concept,20260608,202606081425,885886,超级电容,48,12,48504.5
concept,20260608,202606081425,885699,ST板块,48,13,45931.0
concept,20260608,202606081425,886009,先进封装,48,14,43954.0
concept,20260608,202606081425,885792,赛马概念,48,15,43821.5
concept,20260608,202606081020,886033,共封装光学(CPO),48,1,418031.5
concept,20260608,202606081020,886078,商业航天,48,2,273764.0
concept,20260608,202606081020,886069,人形机器人,48,3,216322.0
concept,20260608,202606081020,886042,存储芯片,48,4,162536.0
concept,20260608,202606081020,885517,机器人概念,48,5,90584.0
concept,20260608,202606081020,885959,PCB概念,48,6,72880.0
concept,20260608,202606081020,886084,光纤概念,48,7,67651.5
concept,20260608,202606081020,885792,赛马概念,48,8,62285.5
concept,20260608,202606081020,886015,创新药,48,9,56673.0
concept,20260608,202606081020,886050,算力租赁,48,10,53789.5
concept,20260608,202606081020,885852,青蒿素,48,11,47591.5
concept,20260608,202606081020,886108,AI应用,48,12,47231.5
concept,20260608,202606081020,885573,猪肉,48,13,47175.0
concept,20260608,202606081020,885699,ST板块,48,14,41628.0
concept,20260608,202606081020,885808,养鸡,48,15,41618.5
concept,20260608,202606081340,886069,人形机器人,48,1,443965.0
concept,20260608,202606081340,886033,共封装光学(CPO),48,2,389402.0
concept,20260608,202606081340,886078,商业航天,48,3,359207.0
concept,20260608,202606081340,885517,机器人概念,48,4,194548.0
concept,20260608,202606081340,886042,存储芯片,48,5,172897.5
concept,20260608,202606081340,885959,PCB概念,48,6,147292.0
concept,20260608,202606081340,886084,光纤概念,48,7,134533.0
concept,20260608,202606081340,886008,减速器,48,8,112664.5
concept,20260608,202606081340,886015,创新药,48,9,91322.5
concept,20260608,202606081340,886050,算力租赁,48,10,74529.5
concept,20260608,202606081340,886108,AI应用,48,11,72696.5
concept,20260608,202606081340,885886,超级电容,48,12,55287.0
concept,20260608,202606081340,886009,先进封装,48,13,52361.5
concept,20260608,202606081340,885792,赛马概念,48,14,49618.5
concept,20260608,202606081340,885699,ST板块,48,15,46836.0
concept,20260608,202606080925,886033,共封装光学(CPO),48,1,125634.5
concept,20260608,202606080925,886069,人形机器人,48,2,94922.5
