code,name,market,main_concept,active_days,start_close_avg,end_close_avg,rank_improve,start_hits_avg,end_hits_avg,hit_improve,latest_hits,latest_best_rank,latest_close_rank,latest_close_rate,score
600584,长电科技,17,共封装光学(CPO),6,13.4,8.25,5.15,5.8,38.0,32.2,56,5,5,1560056.0,71.67
002185,华天科技,33,华为概念,2,16.0,12.25,3.75,0.0,14.75,14.75,56,3,9,1360545.0,50.76
002384,东山精密,33,PCB概念,3,16.0,12.5,3.5,0.0,13.75,13.75,3,11,11,1162798.0,47.41
600105,永鼎股份,17,共封装光学(CPO),2,16.0,12.75,3.25,0.0,10.5,10.5,0,16,16,0,44.13
603986,兆易创新,17,存储芯片,1,16.0,13.75,2.25,0.0,10.5,10.5,42,5,7,1532750.5,31.06
601138,工业富联,17,共封装光学(CPO),2,16.0,13.5,2.5,2.8,6.25,3.45,25,4,6,1545040.0,30.42
600110,诺德股份,17,储能,3,16.0,14.5,1.5,0.0,26.0,26.0,56,2,10,1267023.0,29.87
002428,云南锗业,33,华为概念,4,16.0,14.75,1.25,1.0,12.5,11.5,0,16,16,0,21.12
603993,洛阳钼业,17,盐湖提锂,1,16.0,16.0,0.0,0.0,12.75,12.75,0,16,16,0,5.74
301217,铜冠铜箔,33,PCB概念,2,16.0,16.0,0.0,0.0,10.25,10.25,0,16,16,0,4.61
000630,铜陵有色,33,金属镍,1,16.0,16.0,0.0,0.0,7.75,7.75,0,16,16,0,3.49
600392,盛和资源,17,稀土永磁,2,16.0,16.0,0.0,0.0,7.75,7.75,17,11,16,0.0,3.49
600176,中国巨石,17,PCB概念,2,16.0,16.0,0.0,0.0,7.5,7.5,19,6,16,0.0,3.38
300014,亿纬锂能,33,华为概念,1,16.0,16.0,0.0,0.0,6.25,6.25,0,16,16,0,2.81
002579,中京电子,33,柔性屏(折叠屏),1,16.0,16.0,0.0,0.0,6.25,6.25,25,5,16,0.0,2.81
002585,双星新材,33,柔性屏(折叠屏),3,16.0,16.0,0.0,1.2,6.75,5.55,0,16,16,0,2.5
