date,time,code,name,market,rank,rate,concept
20260608,202606080935,002354,天娱数科,33,1,2002025.5,元宇宙
20260608,202606080935,000725,京东方A,33,2,1723006.5,柔性屏(折叠屏)
20260608,202606080935,002421,达实智能,33,3,1644480.5,华为概念
20260608,202606080935,601991,大唐发电,17,4,1515894.5,储能
20260608,202606080935,300476,胜宏科技,33,5,1439228.0,储能
20260608,202606080935,002361,神剑股份,33,6,1343246.0,股权转让(并购重组)
20260608,202606080935,600396,华电辽能,17,7,1251966.5,绿色电力
20260608,202606080935,603778,国晟科技,17,8,1129470.5,储能
20260608,202606080935,601138,工业富联,17,9,1106653.5,海峡两岸
20260608,202606080935,600487,亨通光电,17,10,964188.0,华为概念
20260608,202606080935,001896,豫能控股,33,11,942790.5,华为概念
20260608,202606081420,600522,中天科技,17,1,3980181.5,商业航天
20260608,202606081420,000725,京东方A,33,2,3599065.0,共封装光学(CPO)
20260608,202606081420,600487,亨通光电,17,3,3166198.5,人形机器人
20260608,202606081420,601991,大唐发电,17,4,2600942.5,绿色电力
20260608,202606081420,002361,神剑股份,33,5,2298838.0,商业航天
20260608,202606081420,600396,华电辽能,17,6,2137401.5,绿色电力
20260608,202606081420,002491,通鼎互联,33,7,2040659.0,光纤概念
20260608,202606081420,001896,豫能控股,33,8,1945948.5,数据中心(AIDC)
20260608,202606081420,002421,达实智能,33,9,1761603.0,机器人概念
20260608,202606081420,002463,沪电股份,33,10,1704043.5,PCB概念
20260608,202606081100,000725,京东方A,33,1,4563381.0,柔性屏(折叠屏)
20260608,202606081100,002421,达实智能,33,2,3517188.0,华为概念
20260608,202606081100,601991,大唐发电,17,3,3302310.0,储能
20260608,202606081100,001896,豫能控股,33,4,3168086.0,华为概念
20260608,202606081100,600522,中天科技,17,5,3120097.0,华为概念
20260608,202606081100,600396,华电辽能,17,6,3048489.5,绿色电力
20260608,202606081100,002361,神剑股份,33,7,2996620.5,股权转让(并购重组)
20260608,202606081100,600403,大有能源,17,8,2286945.5,煤炭概念
20260608,202606081100,600487,亨通光电,17,9,1891918.5,华为概念
20260608,202606081100,002354,天娱数科,33,10,1722638.5,元宇宙
20260608,202606081345,600522,中天科技,17,1,4264168.5,商业航天
20260608,202606081345,000725,京东方A,33,2,3833396.0,共封装光学(CPO)
20260608,202606081345,600487,亨通光电,17,3,3361613.5,人形机器人
20260608,202606081345,601991,大唐发电,17,4,2744646.0,绿色电力
20260608,202606081345,600396,华电辽能,17,5,2315904.0,绿色电力
20260608,202606081345,002361,神剑股份,33,6,2150466.5,商业航天
20260608,202606081345,001896,豫能控股,33,7,2119871.5,数据中心(AIDC)
20260608,202606081345,002491,通鼎互联,33,8,2013720.0,光纤概念
20260608,202606081345,002421,达实智能,33,9,2007681.0,机器人概念
20260608,202606081345,600403,大有能源,17,10,1771363.0,煤炭概念
20260608,202606081025,000725,京东方A,33,1,5369833.0,柔性屏(折叠屏)
20260608,202606081025,002361,神剑股份,33,2,3565801.0,股权转让(并购重组)
20260608,202606081025,002421,达实智能,33,3,3470168.5,华为概念
20260608,202606081025,601991,大唐发电,17,4,3277496.0,储能
20260608,202606081025,001896,豫能控股,33,5,3095438.0,华为概念
20260608,202606081025,600396,华电辽能,17,6,3089074.5,绿色电力
20260608,202606081025,002354,天娱数科,33,7,3020941.5,元宇宙
20260608,202606081025,603778,国晟科技,17,8,2588999.5,储能
20260608,202606081025,600403,大有能源,17,9,2383803.0,煤炭概念
20260608,202606081025,600522,中天科技,17,10,2065201.5,华为概念
20260608,202606081025,601138,工业富联,17,11,2054478.5,海峡两岸
20260608,202606081300,600522,中天科技,17,1,4162832.5,商业航天
20260608,202606081300,000725,京东方A,33,2,3847545.5,共封装光学(CPO)
20260608,202606081300,600487,亨通光电,17,3,3079408.0,人形机器人
20260608,202606081300,601991,大唐发电,17,4,2808867.5,绿色电力
