code,name,relation,hot_snapshot_hits,hot_days,hot_first_seen,hot_last_seen,hot_first_rank,hot_last_rank,hot_best_rank,hot_avg_rank,hot_max_rate,hot_main_concept,lhb_rows,lhb_days,lhb_first_date,lhb_last_date,lhb_turnover_yi,lhb_net_buy_yi,lhb_best_pct_chg
000004,国华退,lhb_only,,,,,,,,,,,4,4,2026-06-23,2026-06-26,0.08亿,0.01亿,7.69
000016,*ST康佳A,lhb_only,,,,,,,,,,,1,1,2026-06-22,2026-06-22,0.48亿,0.00亿,-4.48
000021,深科技,same_day,68,2,202606241355,202606251450,8,10,4,7.6,2268088.0,储能,1,1,2026-06-24,2026-06-24,20.21亿,8.10亿,10.0
000029,深深房A,lhb_only,,,,,,,,,,,1,1,2026-06-24,2026-06-24,0.54亿,-0.26亿,-9.98
000056,*ST皇庭,lhb_only,,,,,,,,,,,2,2,2026-06-24,2026-06-26,1.20亿,-0.01亿,5.08
000060,中金岭南,lhb_only,,,,,,,,,,,1,1,2026-06-23,2026-06-23,9.88亿,-1.76亿,-9.99
000070,特发信息,lhb_only,,,,,,,,,,,2,1,2026-06-23,2026-06-23,23.14亿,6.93亿,10.0
000100,TCL科技,lhb_before_hot,4,1,202606260900,202606260915,11,11,11,11.0,347997.0,柔性屏(折叠屏),1,1,2026-06-25,2026-06-25,34.06亿,9.93亿,10.1
000151,中成股份,lhb_only,,,,,,,,,,,1,1,2026-06-24,2026-06-24,0.67亿,-0.03亿,-10.02
000403,派林生物,lhb_only,,,,,,,,,,,2,1,2026-06-22,2026-06-22,4.31亿,-0.10亿,-9.99
000426,兴业银锡,lhb_only,,,,,,,,,,,1,1,2026-06-23,2026-06-23,10.53亿,-5.32亿,-10.0
000566,海南海药,lhb_only,,,,,,,,,,,1,1,2026-06-24,2026-06-24,1.24亿,0.02亿,10.05
000571,新大洲A,lhb_only,,,,,,,,,,,1,1,2026-06-23,2026-06-23,3.29亿,0.78亿,9.95
000609,*ST中迪,lhb_only,,,,,,,,,,,1,1,2026-06-26,2026-06-26,0.95亿,0.02亿,5.04
000630,铜陵有色,lhb_only,,,,,,,,,,,1,1,2026-06-23,2026-06-23,9.81亿,-2.86亿,-9.96
000636,风华高科,hot_before_lhb,63,3,202606221300,202606261020,11,11,5,8.4,2089824.5,共封装光学(CPO),1,1,2026-06-25,2026-06-25,27.12亿,8.53亿,10.0
000639,ST西王,lhb_only,,,,,,,,,,,1,1,2026-06-22,2026-06-22,0.35亿,-0.04亿,-2.29
000657,中钨高新,same_day,32,2,202606221110,202606230920,10,12,9,10.34,1927780.0,PCB概念,1,1,2026-06-22,2026-06-22,26.94亿,3.73亿,10.0
000677,ST海龙,lhb_only,,,,,,,,,,,1,1,2026-06-22,2026-06-22,0.35亿,-0.04亿,-3.49
000703,恒逸石化,lhb_only,,,,,,,,,,,1,1,2026-06-25,2026-06-25,17.69亿,-0.45亿,5.0
000725,京东方A,hot_only,280,5,202606220900,202606261500,4,2,1,2.68,5342978.5,柔性屏(折叠屏),,,,,,,
000766,通化金马,lhb_only,,,,,,,,,,,1,1,2026-06-26,2026-06-26,3.30亿,-0.99亿,-10.0
000776,广发证券,lhb_only,,,,,,,,,,,1,1,2026-06-22,2026-06-22,20.34亿,-3.53亿,9.98
000783,长江证券,lhb_only,,,,,,,,,,,3,2,2026-06-23,2026-06-25,34.35亿,9.05亿,10.0
000811,冰轮环境,lhb_before_hot,1,1,202606230925,202606230925,11,11,11,11.0,529170.0,储能,3,3,2026-06-22,2026-06-25,59.78亿,-5.49亿,10.01
000821,ST京机,lhb_only,,,,,,,,,,,1,1,2026-06-22,2026-06-22,0.88亿,-0.37亿,-4.62
000823,超声电子,lhb_before_hot,12,1,202606260940,202606261035,9,11,8,8.83,2067243.0,消费电子概念,3,2,2026-06-23,2026-06-26,25.50亿,1.15亿,10.01
000826,*ST启环,lhb_only,,,,,,,,,,,1,1,2026-06-25,2026-06-25,0.27亿,-0.04亿,-5.21
000831,中国稀土,lhb_only,,,,,,,,,,,1,1,2026-06-23,2026-06-23,17.02亿,0.97亿,-10.0
000838,*ST发展,lhb_only,,,,,,,,,,,2,2,2026-06-22,2026-06-26,0.59亿,0.01亿,5.03
000887,中鼎股份,lhb_only,,,,,,,,,,,1,1,2026-06-22,2026-06-22,8.12亿,-2.28亿,-8.97
