date,time,code,name,market,hot_rank,hot_rate,concept
20260622,202606220900,002354,天娱数科,33,1,574499.0,元宇宙
20260622,202606220900,600667,太极实业,17,2,374356.0,光伏建筑一体化
20260622,202606220900,600172,黄河旋风,17,3,352569.5,培育钻石
20260622,202606220900,000725,京东方A,33,4,303661.0,柔性屏(折叠屏)
20260622,202606220900,600206,有研新材,17,5,279409.0,华为概念
20260622,202606220900,601991,大唐发电,17,6,254075.5,储能
20260622,202606220900,600584,长电科技,17,7,232335.0,绿色电力
20260622,202606220900,002674,兴业科技,33,8,230567.5,海峡两岸
20260622,202606220900,002185,华天科技,33,9,226577.0,华为概念
20260622,202606220900,002579,中京电子,33,10,212616.0,柔性屏(折叠屏)
20260622,202606220900,600392,盛和资源,17,11,203328.5,沪股通
20260622,202606220900,002167,东方锆业,33,12,195689.0,牙科医疗
20260622,202606220905,002354,天娱数科,33,1,592955.5,元宇宙
20260622,202606220905,600667,太极实业,17,2,398996.0,光伏建筑一体化
20260622,202606220905,600172,黄河旋风,17,3,376121.0,培育钻石
20260622,202606220905,000725,京东方A,33,4,327329.5,柔性屏(折叠屏)
20260622,202606220905,600206,有研新材,17,5,294563.0,华为概念
20260622,202606220905,601991,大唐发电,17,6,273624.5,储能
20260622,202606220905,600584,长电科技,17,7,249221.5,绿色电力
20260622,202606220905,002674,兴业科技,33,8,244817.5,海峡两岸
20260622,202606220905,002185,华天科技,33,9,241492.0,华为概念
20260622,202606220905,002579,中京电子,33,10,222202.5,柔性屏(折叠屏)
20260622,202606220905,600392,盛和资源,17,11,215889.5,沪股通
20260622,202606220905,002167,东方锆业,33,12,208076.5,牙科医疗
20260622,202606220910,002354,天娱数科,33,1,621069.0,元宇宙
20260622,202606220910,600667,太极实业,17,2,432625.5,光伏建筑一体化
20260622,202606220910,600172,黄河旋风,17,3,406106.5,培育钻石
20260622,202606220910,000725,京东方A,33,4,359020.0,柔性屏(折叠屏)
