date,tag,code,name,rid,price,pct_chg,turnover,net_buy,turnover_yuan,net_buy_yuan
2026-06-22,3日,000016,*ST康佳A,000016_29,2.56,-4.48%,4779.97万,31.66万,47799700.0,316600.0
2026-06-22,3日,000403,派林生物,000403_8,9.73,-9.99%,2.99亿,2710.08万,299000000.0,27100800.0
2026-06-22,,000403,派林生物,000403_4,9.73,-9.99%,1.32亿,-3710.16万,132000000.0,-37101600.0
2026-06-22,3日,000639,ST西王,000639_29,1.28,-2.29%,3503.61万,-439.29万,35036100.0,-4392900.0
2026-06-22,,000657,中钨高新,000657_3,108.33,10.00%,26.94亿,3.73亿,2694000000.0,373000000.0
2026-06-22,3日,000677,ST海龙,000677_29,1.66,-3.49%,3514.35万,-413.86万,35143500.0,-4138600.0
2026-06-22,,000776,广发证券,000776_3,22.70,9.98%,20.34亿,-3.53亿,2034000000.0,-353000000.0
2026-06-22,3日,000811,冰轮环境,000811_7,44.19,10.01%,15.97亿,1.97亿,1597000000.0,197000000.0
2026-06-22,3日,000821,ST京机,000821_29,8.25,-4.62%,8819.13万,-3726.14万,88191299.99999999,-37261400.0
2026-06-22,3日,000838,*ST发展,000838_29,1.44,-5.26%,2203.77万,-535.15万,22037700.0,-5351500.0
2026-06-22,,000887,中鼎股份,000887_4,19.88,-8.97%,8.12亿,-2.28亿,811999999.9999999,-227999999.99999997
2026-06-22,,000960,锡业股份,000960_3,45.91,9.99%,15.95亿,4.11亿,1595000000.0,411000000.00000006
2026-06-22,,001257,盛龙股份,001257_6,33.81,5.79%,5.90亿,-2.28亿,590000000.0,-227999999.99999997
2026-06-22,,001382,新亚电缆,001382_4,18.33,-8.71%,2985.62万,689.52万,29856200.0,6895200.0
2026-06-22,,002126,银轮股份,002126_5,49.13,-6.83%,8.04亿,-2.28亿,803999999.9999999,-227999999.99999997
2026-06-22,,002141,贤丰控股,002141_5,4.50,-4.46%,2.94亿,-2684.14万,294000000.0,-26841400.0
2026-06-22,3日,002198,ST嘉应,002198_29,3.22,-3.30%,4345.98万,-263.52万,43459799.99999999,-2635200.0
2026-06-22,3日,002207,*ST准油,002207_29,6.59,-4.91%,1.39亿,-3030.66万,139000000.0,-30306600.0
2026-06-22,,002272,川润股份,002272_6,22.61,6.65%,10.03亿,2.04亿,1002999999.9999999,204000000.0
2026-06-22,,002407,多氟多,002407_3,42.66,10.01%,16.05亿,2.20亿,1605000000.0,220000000.00000003
2026-06-22,,002409,雅克科技,002409_3,165.18,10.00%,19.21亿,-3.15亿,1921000000.0,-315000000.0
2026-06-22,,002421,达实智能,002421_6,4.21,9.92%,6.16亿,1.59亿,616000000.0,159000000.0
2026-06-22,3日,002431,ST棕榈,002431_29,1.38,-2.82%,1881.07万,-38.77万,18810700.0,-387700.00000000006
2026-06-22,3日,002501,*ST利源,002501_29,1.36,-2.16%,4149.63万,-547.30万,41496300.0,-5473000.0
2026-06-22,3日,002512,ST达华,002512_29,3.79,-4.53%,7279.05万,-620.17万,72790500.0,-6201700.0
2026-06-22,3日,002514,*ST宝馨,002514_29,2.76,-4.83%,7005.56万,-966.21万,70055600.0,-9662100.0
2026-06-22,3日,002542,*ST中岩,002542_29,1.35,-3.57%,3802.22万,-719.46万,38022200.0,-7194600.0
2026-06-22,3日,002568,百润股份,002568_8,15.46,-6.53%,2.48亿,-1917.27万,248000000.0,-19172700.0
2026-06-22,,002579,中京电子,002579_6,21.14,4.04%,10.96亿,5761.66万,1096000000.0,57616600.0
2026-06-22,3日,002586,ST围海,002586_29,3.43,-3.38%,3476.56万,419.17万,34765600.0,4191700.0
2026-06-22,3日,002620,*ST瑞和,002620_29,5.32,-4.83%,1.01亿,-926.20万,101000000.0,-9262000.0
2026-06-22,,002631,德尔未来,002631_5,8.17,4.88%,1.67亿,2182.82万,167000000.0,21828200.0
2026-06-22,3日,002634,*ST棒杰,002634_29,4.70,-5.05%,2140.87万,144.48万,21408700.0,1444800.0
2026-06-22,3日,002655,共达电声,002655_7,46.87,10.00%,9.06亿,9183.08万,906000000.0,91830800.0
2026-06-22,3日,002674,兴业科技,002674_7,19.69,10.00%,2.62亿,2492.99万,262000000.0,24929899.999999996
2026-06-22,3日,002691,*ST冀凯,002691_29,4.40,-1.34%,3290.25万,62.94万,32902500.0,629400.0
2026-06-22,3日,002717,*ST岭南,002717_29,0.97,-4.90%,5553.77万,-1678.02万,55537700.00000001,-16780200.0
2026-06-22,3日,002719,ST麦趣,002719_29,6.56,-5.07%,6396.68万,563.76万,63966800.0,5637600.0
2026-06-22,,002779,中坚科技,002779_405,74.81,-9.46%,2.92亿,-1.36亿,292000000.0,-136000000.0
2026-06-22,,002842,翔鹭钨业,002842_6,52.49,10.00%,7.85亿,-2811.49万,785000000.0,-28114899.999999996
2026-06-22,,002910,庄园牧场,002910_5,12.82,10.04%,2.35亿,4214.41万,235000000.0,42144100.0
2026-06-22,,002980,华盛昌,002980_4,118.23,-9.99%,6.26亿,-1.24亿,626000000.0,-124000000.0
2026-06-22,,300029,天龙退,300029_35,0.18,-10.00%,337.48万,-82.39万,3374800.0,-823900.0
2026-06-22,,300085,银之杰,300085_40,32.35,19.99%,8.55亿,3.00亿,855000000.0000001,300000000.0
2026-06-22,,300179,四方达,300179_40,57.48,20.00%,15.48亿,6.34亿,1548000000.0,634000000.0
2026-06-22,3日,300283,温州宏丰,300283_44,25.53,14.74%,17.09亿,1192.14万,1709000000.0,11921400.000000002
2026-06-22,3日,300319,麦捷科技,300319_44,31.63,13.94%,36.15亿,2.59亿,3615000000.0,259000000.0
2026-06-22,,300319,麦捷科技,300319_43,31.63,13.94%,29.17亿,2237.26万,2917000000.0,22372600.000000004
2026-06-22,,300401,花园生物,300401_40,19.87,19.99%,4.87亿,1.10亿,487000000.0,110000000.00000001
2026-06-22,3日,300475,香农芯创,300475_44,287.80,12.92%,111.06亿,-7.19亿,11106000000.0,-719000000.0
2026-06-22,3日,300522,世名科技,300522_44,23.05,19.99%,6.38亿,-2227.77万,638000000.0,-22277700.0
2026-06-22,,300522,世名科技,300522_40,23.05,19.99%,4.60亿,-5219.14万,459999999.99999994,-52191400.0
2026-06-22,,301071,力量钻石,301071_40,91.92,20.00%,8.51亿,4.05亿,851000000.0,405000000.0
2026-06-22,3日,301127,武汉天源,301127_44,16.98,14.88%,7.15亿,6231.54万,715000000.0,62315400.0
2026-06-22,,301139,*ST元道,301139_43,5.02,20.10%,2006.72万,491.25万,20067200.0,4912500.0
2026-06-22,,301563,云汉芯城,301563_43,201.24,1.33%,2.85亿,-8894.74万,285000000.0,-88947400.0
2026-06-22,,301669,高特电子,301669_43,40.10,-4.50%,3.15亿,-6140.14万,315000000.0,-61401400.0
2026-06-22,,301687,新广益,301687_43,77.98,-5.41%,3.58亿,-5607.16万,358000000.0,-56071600.0
2026-06-22,,600110,诺德股份,600110_6,17.15,-2.39%,16.66亿,-2.53亿,1666000000.0,-252999999.99999997
2026-06-22,,600162,香江控股,600162_3,3.94,10.06%,3.13亿,2654.69万,313000000.0,26546900.0
2026-06-22,3日,600180,*ST瑞茂,600180_29,1.20,-2.44%,2704.79万,-349.47万,27047900.0,-3494700.0000000005
2026-06-22,,600193,退市创兴,600193_35,0.15,0.00%,227.92万,-51.66万,2279200.0,-516599.99999999994
2026-06-22,,600400,红豆股份,600400_3,2.96,10.04%,1.61亿,-2357.87万,161000000.0,-23578700.0
2026-06-22,,600421,退市华嵘,600421_4035,0.24,-11.11%,292.46万,-93.30万,2924600.0,-933000.0
2026-06-22,,600470,六国化工,600470_3,5.91,10.06%,7595.16万,4707.77万,75951600.0,47077700.00000001
2026-06-22,3日,600491,ST龙元,600491_29,1.16,-4.13%,4108.88万,-1603.10万,41088800.0,-16031000.0
2026-06-22,,600599,退市熊猫,600599_35,0.43,2.38%,244.13万,28.87万,2441300.0,288700.0
2026-06-22,,600608,退市沪科,600608_35,0.18,0.00%,252.61万,4.76万,2526100.0,47600.0
2026-06-22,,600636,退市国化,600636_35,1.71,-7.07%,2036.16万,545.93万,20361600.0,5459299.999999999
2026-06-22,,600696,退市岩石,600696_35,0.74,-2.63%,171.15万,21.44万,1711500.0,214400.0
2026-06-22,3日,600745,*ST闻泰,600745_29,16.28,-3.67%,4.79亿,-1.05亿,479000000.0,-105000000.0
2026-06-22,3日,600769,祥龙电业,600769_7,21.08,10.02%,4.14亿,2889.60万,413999999.99999994,28896000.0
2026-06-22,,601519,大智慧,601519_3,9.42,10.05%,2.60亿,5336.75万,260000000.0,53367500.0
2026-06-22,,601991,大唐发电,601991_5,8.37,1.82%,17.44亿,-5429.18万,1744000000.0000002,-54291800.0
2026-06-22,,603012,创力集团,603012_3,8.21,10.05%,5685.56万,797.24万,56855600.00000001,7972400.0
2026-06-22,3日,603070,万控智造,603070_8,14.71,-9.98%,1.18亿,-3556.99万,118000000.0,-35569900.0
2026-06-22,,603070,万控智造,603070_4,14.71,-9.98%,7073.97万,-2217.40万,70739700.0,-22174000.0
2026-06-22,,603177,德创环保,603177_5,11.20,2.94%,8196.67万,1475.69万,81966700.0,14756900.0
2026-06-22,3日,603212,赛伍技术,603212_8,13.03,-8.69%,2.47亿,-1813.75万,247000000.00000003,-18137500.0
2026-06-22,,603261,立航科技,603261_5,46.69,4.29%,4282.74万,319.43万,42827400.0,3194300.0
2026-06-22,,603262,技源集团,603262_6,30.44,6.77%,1.48亿,2803.40万,148000000.0,28034000.0
2026-06-22,3日,603272,*ST联翔,603272_29,29.49,-4.99%,4841.26万,-440.22万,48412600.0,-4402200.0
2026-06-22,,603285,键邦股份,603285_6,51.90,-4.65%,3.37亿,-9734.40万,337000000.0,-97344000.0
