date,code,name,rid,reason,side,broker,buy_amount_wan,sell_amount_wan,net_amount_wan,summary_text
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,buy_top5,华宝证券股份有限公司上海东大名路证券营业部,10546.40,10602.80,-56.40,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,buy_top5,机构专用,4742.69,4779.69,-37.00,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,buy_top5,国泰海通证券股份有限公司天津高新区梅苑路...,3602.65,3589.86,12.79,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,buy_top5,东方证券股份有限公司上海松江区沪亭北路证... 知名游资,3345.77,3361.90,-16.13,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,buy_top5,机构专用,2518.88,2973.98,-455.10,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,sell_top5,华宝证券股份有限公司上海东大名路证券营业部,10546.40,10602.80,-56.40,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,sell_top5,机构专用,4742.69,4779.69,-37.00,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,sell_top5,国泰海通证券股份有限公司天津高新区梅苑路...,3602.65,3589.86,12.79,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,sell_top5,东方证券股份有限公司上海松江区沪亭北路证... 知名游资,3345.77,3361.90,-16.13,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123207,冠中转债,123207_58,日振幅值达到30%的前5只证券,sell_top5,机构专用,2518.88,2973.98,-455.10,详细 成交额：5.01亿元 合计买入： 2.48 亿元 合计卖出： 2.53 亿元 净额： -551.80 万元
2026-06-26,123267,珂玛转债,123267_62,连续三个交易日内，涨幅偏离值累计达到30%的证券,buy_top5,华宝证券股份有限公司上海东大名路证券营业部,121147.00,121500.00,-353.00,详细 成交额：43.25亿元 合计买入： 21.57 亿元 合计卖出： 21.68 亿元 净额： -1091.26 万元
2026-06-26,123267,珂玛转债,123267_62,连续三个交易日内，涨幅偏离值累计达到30%的证券,buy_top5,国泰海通证券股份有限公司成都双庆路证券营业部 知名游资,24827.80,24792.60,35.20,详细 成交额：43.25亿元 合计买入： 21.57 亿元 合计卖出： 21.68 亿元 净额： -1091.26 万元
2026-06-26,123267,珂玛转债,123267_62,连续三个交易日内，涨幅偏离值累计达到30%的证券,buy_top5,华鑫证券有限责任公司上海陆家嘴证券营业部 知名游资,24602.30,24601.40,0.90,详细 成交额：43.25亿元 合计买入： 21.57 亿元 合计卖出： 21.68 亿元 净额： -1091.26 万元
2026-06-26,123267,珂玛转债,123267_62,连续三个交易日内，涨幅偏离值累计达到30%的证券,buy_top5,机构专用,24268.00,24719.40,-451.40,详细 成交额：43.25亿元 合计买入： 21.57 亿元 合计卖出： 21.68 亿元 净额： -1091.26 万元
2026-06-26,123267,珂玛转债,123267_62,连续三个交易日内，涨幅偏离值累计达到30%的证券,buy_top5,中信建投证券股份有限公司上海营口路证券营业部,20858.30,21181.30,-323.00,详细 成交额：43.25亿元 合计买入： 21.57 亿元 合计卖出： 21.68 亿元 净额： -1091.26 万元
