date,tag,code,name,rid,price,pct_chg,turnover,net_buy
2026-06-26,,000004,国华退,000004_35,0.28,7.69%,285.84万,100.45万
2026-06-26,3日,000056,*ST皇庭,000056_28,2.07,5.08%,6083.94万,-574.13万
2026-06-26,3日,000609,*ST中迪,000609_28,12.29,5.04%,9485.72万,169.69万
2026-06-26,,000766,通化金马,000766_5,23.95,-10.00%,3.30亿,-9901.86万
2026-06-26,3日,000823,超声电子,000823_7,28.46,10.01%,10.85亿,1.30亿
2026-06-26,,000823,超声电子,000823_3,28.46,10.01%,8.02亿,4075.18万
2026-06-26,3日,000838,*ST发展,000838_28,1.67,5.03%,3739.84万,646.49万
2026-06-26,,001389,广合科技,001389_3,220.88,10.00%,19.98亿,3.69亿
2026-06-26,3日,001389,广合科技,001389_7,220.88,10.00%,32.74亿,3.68亿
2026-06-26,,001399,惠科股份,001399_13,42.00,315.02%,12.34亿,4.18亿
2026-06-26,,001896,豫能控股,001896_5,16.81,-9.62%,5.98亿,3893.16万
2026-06-26,3日,002080,中材科技,002080_7,97.67,5.10%,76.89亿,-1324.41万
2026-06-26,,002119,康强电子,002119_3,37.02,10.02%,8.79亿,1.64亿
2026-06-26,,002129,TCL中环,002129_3,11.19,10.03%,16.46亿,5.97亿
2026-06-26,3日,002129,TCL中环,002129_7,11.19,10.03%,23.11亿,5.45亿
2026-06-26,3日,002141,贤丰控股,002141_7,5.76,9.92%,3.92亿,7117.96万
2026-06-26,,002354,天娱数科,002354_306,8.83,9.96%,13.11亿,2.99亿
2026-06-26,3日,002409,雅克科技,002409_7,188.60,4.18%,56.16亿,-1.98亿
2026-06-26,3日,002512,ST达华,002512_29,3.33,-4.58%,7099.17万,-1987.02万
2026-06-26,3日,002547,*ST春兴,002547_29,2.49,-4.60%,6045.12万,-818.73万
2026-06-26,,002579,中京电子,002579_6,22.78,6.95%,13.52亿,1.01亿
2026-06-26,3日,002579,中京电子,002579_7,22.78,6.95%,19.77亿,6422.45万
