code,name,thsRank,emRank,rankDiff,inThsTop100,inEmTop100,emListRank,thsChange,pct,price,emScore,emTime,emHisChange,emHourChange
002354,天娱数科,1,10,9,true,true,10,6,9.96,8.83,2570906.862824827,2026-06-27 16:56:00,-3,0
002407,多氟多,6,1,-5,true,true,1,9,-5.21,41.51,4534301.669540578,2026-06-27 16:56:00,47,0
000725,京东方A,2,2,0,true,true,2,0,3.59,7.79,4383310.45675864,2026-06-27 16:56:00,0,0
600206,有研新材,3,3,0,true,true,3,0,8.19,60.76,4078049.5475893905,2026-06-27 16:56:00,2,0
600667,太极实业,4,7,3,true,true,7,0,6.20,26.88,3165328.3677541264,2026-06-27 16:56:00,-4,0
600552,凯盛科技,12,4,-8,true,true,4,-1,10.00,29.60,3232665.013015558,2026-06-27 17:02:00,7,0
001399,惠科股份,5,9,4,true,true,9,-4,315.02,42.00,2840952.819228071,2026-06-27 16:56:00,-8,0
603650,彤程新材,17,5,-12,true,true,5,8,10.00,85.83,3041516.468801649,2026-06-27 17:02:00,15,0
002129,TCL中环,13,6,-7,true,true,6,-4,10.03,11.19,2750275.47919031,2026-06-27 17:02:00,4,0
600584,长电科技,7,8,1,true,true,8,-2,-3.15,100.89,3071707.6372674736,2026-06-27 16:56:00,-4,0
600176,中国巨石,8,11,3,true,true,11,6,4.69,74.12,2036087.2737094916,2026-06-27 17:02:00,3,0
600522,中天科技,9,16,7,true,true,16,-3,-10.00,61.29,2170190.7089293743,2026-06-27 16:56:00,-10,-3
000021,深科技,10,14,4,true,true,14,11,0.58,53.51,1887866.643625989,2026-06-27 17:02:00,-2,1
002185,华天科技,11,13,2,true,true,13,1,0.71,22.56,2209430.8503889674,2026-06-27 16:52:00,-4,1
300059,东方财富,226,12,-214,false,true,12,-42,-4.93,20.07,1976310.7423329023,2026-06-27 17:02:00,6,0
603986,兆易创新,14,21,7,true,true,,6,-0.67,770.00,1951333.0473427773,2026-06-27 16:56:00,-2,0
600703,三安光电,15,18,3,true,true,18,2,0.28,21.73,2078507.915064896,2026-06-27 16:56:00,4,0
600519,贵州茅台,98,15,-83,true,true,15,-32,-1.30,1168.63,1829277.9709878871,2026-06-27 17:02:00,18,1
605358,立昂微,16,27,11,true,true,27,6,6.91,75.37,1498770.9588765632,2026-06-27 17:02:00,4,2
600487,亨通光电,18,46,28,true,true,46,-10,-9.91,110.81,1415783.825929558,2026-06-27 16:56:00,-31,-3
300346,南大光电,55,18,-37,true,true,17,35,4.55,78.12,1747175.7594612879,2026-06-27 17:02:00,42,-1
603256,宏和科技,19,21,2,true,true,20,-3,7.31,297.00,1643985.178507739,2026-06-27 17:02:00,4,-1
002119,康强电子,24,19,-5,true,true,19,-6,10.02,37.02,1712590.3222320008,2026-06-27 17:02:00,-6,0
001309,德明利,20,24,4,true,true,24,-10,6.73,951.00,1538273.2538199031,2026-06-27 17:02:00,-7,1
000823,超声电子,21,28,7,true,true,28,-8,10.01,28.46,1765918.2423577078,2026-06-27 16:56:00,-2,0
002409,雅克科技,22,22,0,true,true,22,22,4.18,188.60,1595100.415203744,2026-06-27 17:02:00,24,2
600460,士兰微,23,55,32,true,true,55,14,1.04,50.38,1084876.8724431242,2026-06-27 17:02:00,9,4
300088,长信科技,52,23,-29,true,true,23,-3,13.41,11.67,1563992.1208342307,2026-06-27 17:02:00,0,-1
002579,中京电子,25,35,10,true,true,35,-1,6.95,22.78,1342444.6533969222,2026-06-27 17:02:00,-19,0
600707,彩虹股份,40,25,-15,true,true,25,8,2.42,13.96,1525428.5873465922,2026-06-27 17:02:00,22,1
